0 39 78
52 39 78
144 25 79
153 114 117
156 25 114
177 25 114
183 21 114
187 80 114
188 25 60
193 25 101
203 77 78
204 21 39
210 79 109
210 101 109
233 21 25
234 46 78
236 21 52
242 25 119
242 39 80
247 77 101
255 39 46
259 25 52
260 14 109
262 21 119
264 54 78
264 78 123
265 23 109
265 80 109
268 23 109
279 39 51
279 39 52
279 51 52
281 14 34
281 14 77
281 22 51
281 25 79
281 34 77
290 54 60
295 21 31
295 34 101
297 23 105
298 39 79
299 52 60
299 60 119
301 23 51
305 23 78
308 79 119
310 77 119
315 31 80
315 52 109
315 79 114
315 109 114
317 22 52
317 31 39
317 31 60
317 39 60
321 101 114
322 21 109
327 39 114
330 14 79
332 14 60
334 80 119
336 22 77
336 22 101
336 23 78
338 54 78
339 22 60
340 25 109
341 14 60
342 22 39
342 22 119
342 39 119
342 54 78
342 79 114
348 14 80
348 23 39
348 39 109
354 25 114
355 54 75
355 54 79
362 14 105
368 25 114
370 22 31
370 45 105
372 31 39
372 31 60
372 39 60
373 39 51
373 51 52
374 78 109
376 45 79
376 46 79
376 51 114
378 21 45
378 21 109
380 14 23
380 14 52
380 23 52
381 31 39
381 31 60
381 39 60
382 21 31
382 39 51
386 80 114
387 21 101
391 14 45
392 31 119
394 21 109
394 25 105
394 37 105
394 54 60
396 25 45
396 37 45
398 45 109
399 51 105
399 51 117
400 31 39
400 31 60
400 39 60
403 25 80
404 20 119
404 29 37
405 51 78
405 78 123
406 20 31
406 23 109
406 80 109
407 22 45
408 45 80
408 78 80
409 25 123
409 34 39
409 34 75
409 39 75
410 23 29
410 23 77
410 29 77
411 80 124
412 21 114
413 25 78
414 101 124
416 18 105
418 45 114
418 78 117
420 21 25
420 51 105
420 54 105
420 77 78
422 18 39
422 39 124
422 52 109
423 109 124
424 23 109
425 51 78
425 78 123
426 25 105
426 45 51
426 45 79
426 51 79
430 22 114
431 119 124
432 42 109
433 52 79
436 14 39
436 75 119
437 31 105
437 52 101
438 20 109
438 109 114
439 29 45
440 22 39
440 22 119
440 39 119
441 21 52
441 80 105
443 39 51
443 39 52
443 51 52
444 20 21
444 22 31
444 22 37
444 31 37
445 22 80
445 105 114
446 52 78
447 29 51
448 52 79
449 45 119
449 52 80
450 18 22
450 21 22
451 25 31
453 14 109
454 18 75
454 20 105
454 51 78
455 39 52
455 39 77
455 52 77
456 80 92
457 45 124
458 14 42
459 21 22
460 23 92
460 42 92
460 109 124
462 18 79
462 52 75
463 20 39
463 45 105
464 25 75
465 29 77
466 21 23
466 31 39
466 31 60
466 39 60
466 39 123
466 80 119
470 14 39
470 25 31
470 29 80
470 29 124
470 75 119
472 92 119
473 14 60
473 42 77
474 31 52
474 39 105
475 14 60
475 31 60
477 21 124
477 31 124
477 34 75
478 119 124
481 31 60
481 37 51
481 92 101
484 14 60
484 23 31
484 29 31
484 31 51
484 31 60
484 52 114
484 79 114
486 80 124
487 25 80
487 105 119
489 25 92
490 14 23
490 42 109
492 18 42
492 21 22
492 23 42
492 25 31
493 45 105
493 109 124
495 14 60
495 23 25
496 21 79
496 42 80
496 42 124
496 45 80
496 78 80
497 14 77
497 42 77
498 20 79
498 20 92
498 20 105
498 79 92
499 22 105
499 23 39
499 31 39
499 31 60
499 39 60
499 78 109
500 23 80
500 25 77
500 25 109
500 77 109
501 23 29
503 20 22
503 22 114
503 29 124
504 18 39
504 20 37
504 20 46
504 37 46
