0 1 2
0 1 2
1 2 1
1 2 1
1 2 1
1 2 1
2 1 2
2 1 2
2 2 1
2 2 1
3 2 1
3 2 1
3 2 1
3 2 1
4 1 2
4 1 2
4 1 2
4 1 2
5 1 2
5 1 2
5 1 4
5 1 4
5 2 1
5 2 1
6 4 1
6 4 1
6 4 1
6 4 1
7 1 2
7 1 2
7 2 1
7 2 4
7 2 4
7 2 4
7 4 1
8 2 1
8 2 1
8 4 1
8 4 1
9 1 2
9 1 4
9 2 4
9 2 4
9 2 4
9 4 2
9 4 2
10 1 4
10 1 4
10 2 1
10 2 4
10 4 1
10 4 1
10 4 1
10 5 6
10 5 6
10 7 1
10 7 2
10 7 4
11 1 4
11 1 5
11 1 5
11 5 1
11 5 4
11 7 2
11 7 2
11 8 1
11 8 5
11 8 6
12 1 5
12 1 5
12 4 1
12 4 6
12 4 7
12 6 5
12 6 5
13 2 4
13 2 4
13 8 1
13 8 1
14 2 4
14 2 4
14 2 6
14 2 6
15 2 9
15 5 9
15 6 7
15 6 7
15 6 8
15 7 6
15 7 8
15 7 9
15 8 4
15 8 4
16 2 6
16 2 6
16 9 4
16 9 4
17 1 5
17 4 5
17 5 6
17 5 2
17 5 7
17 6 5
17 8 2
17 8 2
17 8 9
17 8 9
18 1 7
18 1 7
18 8 5
18 8 5
18 8 10
18 8 10
18 9 4
18 9 6
18 9 8
19 2 10
19 7 1
19 7 1
19 8 2
19 8 10
19 9 5
19 9 5
20 2 9
20 2 9
20 6 1
20 6 1
21 5 9
21 5 9
21 8 10
21 8 10
22 1 10
22 4 8
22 4 8
22 5 10
22 9 5
22 9 5
22 9 10
23 4 8
23 4 8
23 4 10
23 4 10
24 4 6
24 4 6
24 9 10
24 9 10
25 4 5
25 4 5
25 7 2
25 7 8
25 7 8
25 7 8
25 7 9
26 5 6
26 5 2
26 5 7
26 8 9
26 8 9
26 9 6
26 9 6
27 1 5
27 1 5
27 5 9
27 5 9
28 4 10
28 4 10
28 9 5
28 9 5
28 9 10
28 9 1
28 10 1
28 11 5
28 11 2
28 11 7
29 4 2
29 4 2
29 10 2
29 10 2
30 5 2
30 5 2
30 5 12
30 5 12
30 5 11
30 5 11
30 11 2
30 11 10
30 11 1
31 6 13
31 6 13
31 10 9
31 10 9
31 12 2
31 12 2
32 1 5
32 1 5
32 1 9
32 1 9
32 10 2
32 10 7
32 10 4
33 6 12
33 6 12
33 9 12
33 9 12
34 1 4
34 1 5
34 1 9
34 9 6
34 9 6
34 13 1
34 13 1
35 2 5
35 2 5
35 8 9
35 8 9
35 9 15
35 14 9
35 14 15
35 16 9
35 16 2
35 16 10
36 6 8
36 6 8
36 12 15
36 12 15
37 4 14
37 4 12
37 11 14
37 11 14
37 13 14
37 13 14
37 14 12
37 15 4
37 15 8
37 15 2
38 9 5
38 9 5
38 10 6
38 10 6
38 11 17
38 11 17
39 1 14
39 2 17
39 2 17
39 9 14
39 10 1
39 10 1
39 15 14
40 9 6
40 9 6
40 12 11
40 12 11
41 8 14
41 8 14
41 11 5
41 11 5
41 12 5
41 12 6
41 12 4
42 2 8
42 2 8
42 10 6
42 10 6
42 18 16
42 18 7
42 18 10
43 2 14
43 2 14
43 12 1
43 12 1
44 6 7
44 6 7
44 7 6
44 7 6
45 5 12
45 5 12
45 7 17
45 7 17
46 7 15
46 7 15
46 9 4
46 9 4
47 4 5
47 4 5
47 18 2
47 18 2
47 19 20
47 19 20
48 8 16
48 8 16
48 16 17
48 16 17
49 9 1
49 9 12
49 11 13
49 11 13
49 12 1
49 13 9
49 13 9
49 19 12
49 19 17
49 19 18
50 2 5
50 2 11
50 5 11
50 8 12
50 8 12
50 12 13
50 12 13
50 18 15
50 18 20
50 18 4
51 9 14
51 9 14
51 13 2
51 16 6
51 16 6
51 17 2
51 19 2
52 15 8
52 15 8
52 16 17
52 16 17
53 1 9
53 1 9
53 10 4
