0 1 2
0 1 2
1 1 2
1 1 2
1 2 1
1 2 1
2 1 2
2 1 2
2 1 2
2 1 2
3 2 1
3 2 1
3 2 1
3 2 1
4 1 2
4 1 2
4 1 2
4 1 2
5 1 2
5 1 2
5 2 1
5 2 1
6 1 2
6 1 2
7 2 1
7 2 1
7 2 1
7 2 1
8 1 2
8 1 2
8 2 1
8 2 1
9 1 2
9 1 2
9 2 1
9 2 1
10 1 2
10 1 2
10 2 1
10 2 1
11 1 2
11 1 2
11 2 1
11 2 1
12 1 2
12 1 2
12 2 1
12 2 1
13 2 1
13 2 1
14 2 1
14 2 1
14 2 1
14 2 1
15 1 2
15 1 2
15 2 1
15 2 1
16 1 2
16 1 2
16 1 2
16 1 2
17 1 2
17 1 2
17 1 2
17 1 2
18 1 2
18 1 2
18 2 1
18 2 1
19 2 1
19 2 1
20 1 2
20 1 2
20 2 1
20 2 1
21 1 2
21 1 2
21 2 1
21 2 1
22 1 2
22 1 2
22 1 2
22 1 2
23 2 1
23 2 1
23 2 1
23 2 1
24 1 2
24 1 2
24 2 1
24 2 1
25 1 2
25 1 2
25 2 1
25 2 1
26 1 2
26 1 2
26 2 1
26 2 1
27 2 1
27 2 1
27 2 1
27 2 1
28 1 2
28 1 2
28 2 1
28 2 1
29 1 2
29 1 2
29 1 2
29 1 2
30 1 2
30 1 2
30 2 1
30 2 1
31 1 2
31 1 2
31 2 1
31 2 1
32 1 2
32 1 2
32 2 1
32 2 1
33 1 2
33 1 2
33 1 2
33 1 2
34 2 1
34 2 1
34 2 1
34 2 1
35 1 2
35 1 2
35 2 1
35 2 1
36 1 2
36 1 2
36 1 2
36 1 2
37 1 2
37 1 2
37 2 1
37 2 1
38 2 1
38 2 1
39 1 2
39 1 2
39 1 2
39 1 2
40 1 2
40 1 2
40 2 1
40 2 1
41 1 2
41 1 2
41 2 1
41 2 1
42 2 1
42 2 1
43 2 1
43 2 1
43 2 1
43 2 1
44 1 2
44 1 2
44 2 1
44 2 1
45 2 1
45 2 1
45 2 1
45 2 1
46 1 2
46 1 2
46 2 1
46 2 1
47 1 2
47 1 2
47 1 2
47 1 2
48 1 2
48 1 2
48 2 1
48 2 1
49 2 1
49 2 1
49 2 1
49 2 1
50 2 1
50 2 1
50 2 1
50 2 1
51 1 2
51 1 2
51 2 1
51 2 1
52 1 2
52 1 2
52 2 1
52 2 1
53 2 1
53 2 1
53 2 1
53 2 1
54 1 2
54 1 2
54 2 1
54 2 1
55 1 2
55 1 2
55 1 2
55 1 2
56 1 2
56 1 2
56 1 2
56 1 2
57 1 2
57 1 2
57 2 5
57 2 5
58 2 1
58 2 1
58 5 1
58 5 1
59 1 5
59 1 5
59 5 1
59 5 1
60 2 5
60 2 5
60 5 1
60 5 1
61 5 2
61 5 2
61 5 2
61 5 2
62 1 5
62 1 5
62 5 1
62 5 1
63 5 1
63 5 1
63 5 1
63 5 1
64 5 1
64 5 1
65 5 2
65 5 2
65 5 2
65 5 2
66 1 2
66 1 2
66 2 1
66 2 1
67 1 2
67 1 2
67 5 1
67 5 1
68 1 2
68 1 2
68 5 1
68 5 1
69 5 1
69 5 1
69 5 2
69 5 2
70 1 5
70 1 5
70 1 5
70 1 5
71 5 1
71 5 1
71 5 2
71 5 2
72 2 1
72 2 1
73 5 1
73 5 1
74 1 5
74 1 5
74 2 1
74 2 1
75 2 1
75 2 1
75 5 1
75 5 1
76 2 5
76 2 5
77 1 5
77 1 5
77 2 5
77 2 5
77 2 5
77 6 2
77 6 5
78 1 7
78 1 7
78 2 5
78 2 5
78 6 1
78 6 1
79 7 5
79 7 5
79 7 1
79 7 1
80 7 1
80 7 1
80 7 1
80 7 1
80 8 1
80 8 6
80 8 2
81 1 6
81 1 6
81 5 1
81 5 1
82 1 2
82 1 2
82 5 1
82 5 1
82 6 1
82 6 7
82 6 8
83 5 6
83 5 6
83 6 1
83 6 1
84 1 5
84 1 5
84 7 2
84 7 2
85 2 8
85 2 8
85 8 2
85 8 2
86 6 5
86 6 5
86 8 5
86 8 5
87 7 5
87 7 5
88 2 6
88 2 6
88 8 2
88 8 2
89 2 5
89 2 5
89 8 7
89 8 7
90 6 1
90 6 1
90 8 1
90 8 1
91 1 2
91 1 2
91 8 2
91 8 2
92 1 7
92 1 7
92 1 7
92 1 7
93 1 5
93 1 5
93 8 6
93 8 6
94 2 6
94 2 6
94 8 7
94 8 7
95 5 2
95 5 2
95 6 2
95 6 2
96 5 8
96 5 8
96 8 5
96 8 5
97 5 7
97 5 7
97 8 5
97 8 5
98 1 7
98 1 7
98 6 2
98 6 2
99 1 2
99 1 2
99 5 9
99 5 9
99 7 1
99 7 1
100 6 8
100 6 8
100 8 2
100 8 2
101 6 8
101 6 8
101 8 9
101 8 9
102 2 8
102 2 8
102 7 8
102 7 8
103 1 7
103 1 7
103 8 6
103 8 6
104 5 2
104 5 2
104 8 6
104 8 6
105 8 9
105 8 9
105 9 1
105 9 1
106 2 1
106 6 9
106 6 9
106 7 9
106 7 9
106 8 1
106 8 2
107 2 5
107 2 7
107 5 7
107 9 2
107 9 2
107 9 5
107 9 5
108 9 6
108 9 6
108 9 6
108 9 6
109 5 8
109 5 8
109 9 7
109 9 7
110 5 6
110 5 6
111 2 1
111 2 1
111 9 6
111 9 6
112 5 6
112 5 6
112 9 6
112 9 6
113 1 9
113 1 9
113 7 2
113 7 2
114 2 9
114 2 9
114 6 7
114 6 7
115 1 7
115 1 7
115 9 7
115 9 7
116 8 5
116 8 5
116 9 8
116 9 8
117 2 5
117 2 6
117 2 7
117 6 5
117 6 5
117 7 5
117 7 5
118 1 7
118 1 7
118 1 6
118 1 6
118 10 8
118 10 9
118 10 1
119 7 9
119 7 9
119 10 6
119 10 6
120 1 10
120 1 10
120 9 2
120 9 2
121 8 5
121 8 5
121 10 9
121 10 9
122 2 5
122 2 5
122 6 1
122 6 1
123 1 7
123 1 7
123 7 5
123 7 5
124 1 7
124 1 7
125 9 6
125 9 6
126 1 5
126 1 5
126 2 7
126 2 7
127 9 6
127 9 6
128 5 2
128 5 2
128 7 8
128 7 8
129 9 6
129 9 6
129 10 6
129 10 6
130 5 1
130 5 1
130 7 8
130 7 8
131 9 5
131 9 5
131 10 8
131 10 8
132 2 8
132 2 6
132 2 9
132 8 9
132 8 9
133 5 8
133 5 8
133 9 2
133 9 2
134 7 6
134 7 6
134 10 7
134 10 7
135 1 6
135 1 6
135 8 2
135 8 2
136 2 10
136 2 10
136 9 10
136 9 10
137 2 10
137 2 10
137 5 6
137 5 6
138 7 5
138 7 5
138 7 2
138 7 2
139 8 2
139 8 2
139 9 2
139 9 2
140 2 5
140 2 5
140 9 7
140 9 7
141 1 2
141 1 2
141 7 9
141 7 9
142 8 5
142 8 5
142 10 5
142 10 5
143 1 2
143 1 2
143 5 6
143 5 6
144 2 7
144 2 7
144 10 9
144 10 9
145 5 6
145 5 6
145 10 2
145 10 2
146 9 5
146 9 5
146 10 9
146 10 9
147 7 10
147 7 10
148 1 2
148 1 2
148 6 7
148 6 7
149 5 6
149 5 6
149 7 1
149 7 8
149 7 6
149 7 6
149 7 10
150 5 2
150 5 2
150 9 6
150 9 6
151 1 8
151 1 8
151 8 6
151 8 6
152 1 10
152 2 8
152 2 8
152 9 1
152 9 10
153 6 7
153 6 7
153 10 8
153 10 8
154 7 10
154 7 10
154 9 8
154 9 8
155 5 1
155 5 1
155 10 2
155 10 2
156 9 10
156 9 10
157 2 8
157 2 8
157 10 1
157 10 1
158 6 7
158 6 7
158 7 2
158 7 2
159 7 2
159 7 2
159 9 1
159 9 1
160 1 7
160 1 7
160 7 8
160 7 8
161 9 7
161 9 7
161 10 8
161 10 8
162 5 8
162 5 8
162 7 5
162 7 5
163 1 7
163 1 7
163 10 5
163 10 5
164 1 5
164 1 5
165 10 2
165 10 2
166 7 8
166 7 8
166 8 6
