0 1 2
0 1 2
1 1 2
1 1 2
1 1 2
1 1 2
2 1 2
2 1 2
2 2 1
2 2 1
3 1 2
3 1 2
3 1 2
3 1 2
4 1 2
4 1 2
4 1 2
4 1 2
5 1 2
5 1 2
5 1 2
5 1 2
5 1 4
5 1 4
6 1 2
6 1 2
6 2 1
6 2 1
7 1 5
7 2 1
7 2 1
7 2 5
7 4 2
7 4 2
7 4 5
8 2 1
8 2 1
8 2 4
8 2 4
8 4 2
8 4 5
8 4 1
9 2 1
9 2 4
9 2 4
9 2 4
9 2 4
9 2 4
9 4 1
10 1 2
10 1 4
10 1 4
10 1 4
10 1 5
10 1 5
10 1 5
11 2 1
11 2 5
11 2 4
11 4 1
11 4 1
11 5 4
11 5 4
12 1 2
12 1 2
12 4 2
12 4 2
13 1 2
13 1 2
13 4 2
13 4 2
14 4 2
14 4 2
14 4 2
14 4 5
14 4 1
14 5 1
14 5 1
15 1 2
15 1 2
15 2 1
15 2 5
15 2 4
15 2 6
15 2 6
15 5 2
15 5 2
16 1 5
16 2 5
16 4 5
16 5 1
16 5 1
16 6 1
16 6 1
17 5 6
17 5 6
17 6 4
17 6 4
18 2 1
18 2 5
18 5 1
18 5 6
18 5 6
18 6 5
18 6 5
19 4 2
19 4 2
19 4 1
19 4 1
19 6 1
19 6 4
19 6 2
20 2 4
20 2 4
20 2 6
20 2 6
21 2 4
21 2 4
21 4 5
21 4 5
22 1 4
22 1 4
22 4 5
22 4 5
22 5 1
22 5 2
22 5 6
23 2 6
23 2 6
23 6 4
23 6 4
24 1 4
24 1 4
24 5 2
24 5 2
25 1 2
25 1 2
25 1 8
25 2 6
25 2 6
25 5 8
25 6 8
25 7 2
25 7 1
25 7 4
26 1 8
26 2 4
26 2 6
26 2 7
26 4 1
26 4 1
26 4 11
26 4 8
26 6 7
26 6 7
26 6 11
26 7 11
26 7 8
26 9 10
26 9 10
27 7 1
27 7 1
27 11 1
27 11 1
28 2 5
28 2 8
28 2 8
28 6 11
28 6 11
28 8 2
28 8 5
28 11 14
28 11 14
28 12 13
28 12 13
29 5 8
29 5 8
29 14 1
29 14 1
30 4 5
30 4 5
30 13 5
30 13 5
31 4 5
31 4 7
31 4 6
31 5 12
31 5 12
31 11 13
31 11 13
31 15 8
31 15 2
31 15 11
32 2 12
32 2 12
32 4 5
32 4 1
32 4 7
32 4 6
32 4 6
33 5 1
33 5 1
33 8 12
33 8 12
34 1 5
34 1 13
34 1 6
34 2 7
34 2 7
34 10 12
34 10 12
34 16 4
34 16 14
34 16 6
35 7 12
35 7 12
35 12 11
35 12 11
36 7 8
36 7 8
36 11 12
36 11 12
37 1 11
37 1 11
37 11 12
37 11 5
37 11 5
37 11 15
37 11 8
38 2 17
38 2 17
38 7 14
38 7 14
38 11 5
38 11 16
38 12 8
38 13 8
38 13 8
38 16 5
39 1 14
39 1 14
39 5 13
39 5 13
39 18 1
39 18 11
39 18 8
40 4 9
40 10 12
40 10 19
40 10 19
40 10 11
40 10 1
40 12 13
40 12 13
40 15 16
40 15 16
40 16 4
40 16 9
41 14 16
41 14 16
41 19 14
41 19 14
42 4 14
42 4 14
42 8 2
42 8 11
42 8 15
42 16 2
42 16 2
42 20 11
42 20 2
42 20 18
43 12 14
43 12 14
43 13 20
43 13 20
43 20 21
43 20 21
44 9 16
44 12 16
44 12 16
44 13 9
44 13 16
44 15 5
44 15 5
44 22 20
44 22 14
44 22 4
45 2 24
45 5 24
45 14 6
45 14 6
45 14 22
45 15 14
45 15 14
45 17 14
45 17 22
45 17 24
45 23 15
45 23 6
45 23 16
46 16 4
46 16 4
46 23 15
46 23 15
47 5 25
47 9 4
47 9 4
47 11 25
47 12 11
47 12 11
47 21 25
48 4 26
48 4 26
48 5 18
48 5 18
48 16 23
48 16 23
49 10 21
49 10 21
49 26 9
49 26 9
50 9 7
50 9 7
50 14 7
50 14 7
50 18 25
50 18 23
50 25 23
50 26 15
50 26 25
50 26 5
51 11 18
51 11 18
51 16 17
51 16 17
52 7 19
52 8 19
52 9 16
52 9 11
52 9 11
52 11 5
52 11 5
52 14 19
52 20 12
52 20 25
52 20 10
52 27 9
52 27 16
53 1 22
53 1 22
53 19 8
53 19 8
54 11 28
54 11 28
54 14 5
54 14 5
54 26 7
54 26 7
55 6 19
55 6 19
55 16 10
55 16 10
56 19 25
56 19 25
56 20 25
56 20 25
57 2 6
57 2 23
57 2 23
57 2 30
57 2 21
57 2 19
57 19 6
57 19 6
57 29 2
57 29 30
58 6 16
58 6 16
58 18 31
58 18 31
58 18 32
58 25 11
58 25 11
58 27 32
58 28 32
59 8 33
59 8 33
59 11 18
59 11 6
59 18 6
59 23 15
59 23 7
59 29 23
59 29 23
59 30 24
59 30 24
60 4 8
60 4 28
60 4 20
60 6 15
60 6 15
60 18 33
60 18 33
60 34 17
60 34 18
60 34 22
61 7 34
61 7 34
61 24 13
61 24 13
62 18 6
62 18 6
62 32 25
62 32 25
63 16 6
63 23 10
63 23 10
63 23 27
63 23 27
63 30 5
63 30 31
63 30 32
63 35 16
63 35 6
63 36 14
63 36 33
63 36 23
64 9 10
64 9 10
64 18 26
64 18 26
64 34 35
64 34 14
64 35 14
65 19 9
65 19 9
65 24 16
65 24 16
66 28 35
66 28 35
66 29 13
66 29 13
67 18 37
67 18 37
67 29 22
67 29 22
67 35 13
67 35 13
68 4 11
68 4 13
68 4 31
68 28 37
68 28 37
68 35 37
68 35 37
69 15 5
69 15 5
69 24 1
69 24 1
69 31 38
69 31 38
70 16 8
70 16 8
70 19 31
70 19 31
70 29 39
70 29 39
70 29 6
70 29 7
70 29 12
71 5 20
71 5 20
71 36 23
71 36 6
71 36 5
71 39 36
71 39 36
72 10 6
72 10 6
72 17 5
72 17 5
73 2 32
73 2 32
73 23 38
73 23 38
73 23 21
73 23 2
73 23 22
74 21 1
74 21 1
74 23 18
74 23 18
74 39 36
74 39 9
74 39 10
74 40 41
74 40 41
75 5 26
75 5 27
75 5 35
75 12 7
75 12 7
75 28 36
75 28 36
75 42 43
75 42 23
76 7 26
76 7 26
76 35 22
76 35 22
76 44 6
76 44 2
76 44 5
77 4 5
77 4 31
77 4 35
77 17 7
77 17 7
77 27 31
77 27 31
78 12 7
78 12 7
78 18 11
78 18 11
79 9 30
79 9 30
79 25 13
79 25 13
80 15 11
80 15 11
80 30 44
80 30 44
81 15 25
81 15 25
81 18 39
81 18 39
82 21 24
82 21 24
82 33 29
82 33 29
83 8 23
83 8 23
83 25 6
83 25 6
84 17 27
84 17 27
84 39 37
84 39 37
85 4 22
85 11 2
85 11 2
85 12 38
85 12 38
85 15 4
85 15 22
86 10 28
86 10 28
86 15 18
86 16 15
86 16 18
86 41 13
86 41 13
87 6 45
87 11 44
87 11 44
87 14 45
87 26 45
87 27 16
87 27 16
88 2 46
88 2 46
88 5 14
88 5 14
88 34 27
88 34 27
89 18 10
89 18 10
89 43 1
89 43 1
90 10 9
90 10 9
90 18 12
90 18 12
91 1 22
91 1 33
91 1 24
91 7 24
91 7 24
91 12 47
91 12 47
91 25 46
91 25 46
92 25 23
92 25 23
92 34 35
92 34 9
92 34 46
92 41 36
92 41 36
93 2 26
93 15 41
93 15 41
93 16 20
93 16 20
93 33 11
93 33 9
93 33 20
93 48 2
93 48 26
93 49 9
93 49 44
93 49 37
94 9 35
94 9 35
94 12 7
94 12 7
94 19 48
94 23 19
94 23 48
95 20 9
95 20 9
95 49 23
95 49 23
96 1 5
96 1 14
96 5 14
96 7 35
96 7 35
96 11 30
96 11 30
96 17 5
96 17 37
96 17 29
96 50 6
96 50 5
96 50 38
97 17 43
97 17 43
97 29 36
97 29 36
98 14 5
98 14 5
98 16 41
98 16 44
98 41 44
98 45 25
98 45 25
99 11 24
99 11 24
99 32 41
99 32 9
99 32 29
99 36 44
99 36 44
100 13 9
100 13 22
100 13 14
100 15 41
